"29","0","411"
"47","1","613"
"35","2","329"
"46","4","513"
"22","5","71"
"11","8","624"
"37","9","171"
"31","12","815"
"3","13","420"
"8","14","461"
"36","16","815"
"25","18","676"
"19","19","488"
"14","21","347"
"22","22","520"
"33","28","534"
"35","29","973"
"40","33","862"
"48","36","693"
"44","37","987"
"44","40","745"
"3","42","307"
"3","46","108"
"30","48","361"
"5","49","701"
"48","55","690"
"4","56","771"
"44","59","97"
"45","60","848"
"2","64","860"
"0","67","428"
"37","68","461"
"26","71","782"
"0","73","289"
"26","74","770"
"5","76","651"
"31","77","874"
"16","78","351"
"30","81","806"
"40","82","63"
"45","85","450"
"24","86","52"
"20","88","403"
"13","90","806"
"8","92","517"
"20","94","125"
"1","95","413"
"44","97","347"
"28","98","50"
"36","101","416"
"32","102","514"
"18","103","928"
"6","107","268"
"16","108","40"
"4","109","457"
"12","110","198"
"5","112","180"
"31","117","129"
"6","118","799"
"15","120","242"
"45","123","318"
"4","124","669"
"20","128","524"
"27","129","663"
"1","130","372"
"9","132","250"
"49","133","312"
"34","134","605"
"15","135","74"
"19","137","714"
"19","139","486"
"3","140","936"
"45","141","290"
"13","143","876"
"28","144","868"
"48","145","308"
"29","150","595"
"45","151","723"
"33","153","230"
"9","156","766"
"48","157","293"
"29","158","995"
"4","160","987"
"7","169","879"
"14","171","95"
"40","172","299"
"34","173","227"
"20","174","308"
"0","180","315"
"46","181","676"
"46","182","81"
"19","183","933"
"42","184","742"
"40","189","612"
"17","191","516"
"6","192","228"
"36","193","365"
"17","195","577"
"31","196","113"
"49","204","641"
"0","205","272"
"45","207","851"
"39","211","54"
"36","212","816"
"39","213","858"
"42","214","104"
"2","215","794"
"13","219","169"
"16","220","27"
"12","222","954"
"30","223","529"
"14","224","537"
"26","225","722"
"42","229","737"
"49","230","896"
"6","231","960"
"35","232","684"
"47","235","646"
"37","236","238"
"28","238","704"
"4","239","643"
"38","241","334"
"3","242","67"
"47","243","383"
"40","245","882"
"49","246","548"
"0","247","680"
"4","251","61"
"45","252","659"
"32","253","577"
"1","255","416"
"12","263","106"
"8","270","530"
"9","271","911"
"18","274","484"
"45","275","76"
"31","276","722"
"29","278","176"
"36","282","38"
"6","285","806"
"1","286","587"
"1","287","33"
"25","288","526"
"34","291","594"
"31","292","590"
"29","294","31"
"31","296","522"
"46","299","411"
"42","302","896"
"40","303","990"
"19","304","177"
"29","306","778"
"16","307","334"
"6","309","568"
"29","313","219"
"23","314","428"
"32","317","71"
"29","319","147"
"0","320","657"
"21","322","888"
"3","324","477"
"44","327","292"
"34","333","13"
"18","335","510"
"4","337","421"
"16","339","535"
"18","340","82"
"1","341","853"
"49","343","822"
"19","345","158"
"17","346","484"
"33","347","900"
"40","348","143"
"0","352","823"
"25","354","302"
"8","358","344"
"7","359","579"
"3","360","446"
"3","361","800"
"34","362","51"
"17","367","218"
"13","368","232"
"13","369","828"
"5","371","650"
"44","376","618"
"27","377","788"
"1","378","695"
"17","379","643"
"16","380","546"
"8","381","456"
"21","384","469"
"20","385","491"
"39","386","231"
"35","390","976"
"19","393","980"
"6","394","852"
"22","395","506"
"21","398","568"
"14","401","946"
"49","402","226"
"24","405","812"
"45","407","711"
"7","410","802"
"4","416","274"
"46","417","795"
"16","419","123"
"16","421","402"
"42","424","163"
"7","426","878"
"45","427","338"
"18","429","796"
"41","431","374"
"5","433","182"
"2","437","125"
"28","439","730"
"2","441","971"
"26","444","1000"
"35","445","252"
"44","447","552"
"48","452","755"
"29","453","74"
"36","454","269"
"1","457","898"
"27","459","462"
"22","460","339"
"39","461","287"
"29","462","790"
"38","463","67"
"17","465","99"
"49","467","233"
"23","469","575"
"16","472","668"
"18","474","466"
"40","475","405"
"21","479","236"
"35","480","157"
"36","483","795"
"38","486","425"
"34","490","314"
"49","491","952"
"21","492","97"
"46","494","68"
"1","498","921"
"11","501","827"
"5","502","236"
"17","503","117"
"1","506","141"
"31","508","586"
"0","510","223"
"12","512","514"
"34","514","72"
"3","515","764"
"8","516","806"
"24","518","167"
"18","519","194"
"31","522","625"
"2","523","487"
"5","524","332"
"14","526","819"
"45","528","124"
"25","531","782"
"40","532","399"
"20","535","464"
"25","536","152"
"24","539","237"
"16","540","254"
"8","541","63"
"26","542","74"
"10","543","924"
"28","545","194"
"42","546","567"
"38","551","930"
"33","552","628"
"12","554","992"
"30","556","0"
"23","559","955"
"9","560","44"
"32","561","901"
"31","562","791"
"44","564","334"
"32","566","477"
"31","568","434"
"1","569","772"
"47","572","544"
"20","576","753"
"45","577","934"
"23","578","458"
"2","579","753"
"40","580","852"
"39","581","960"
"5","582","426"
"38","584","52"
"0","586","633"
"42","587","708"
"9","589","69"
"0","590","263"
"15","591","597"
"20","592","170"
"12","597","158"
"10","598","710"
"35","599","971"
"48","600","853"
"10","604","709"
"40","605","461"
"13","608","834"
"19","611","78"
"48","613","491"
"13","620","949"
"34","621","832"
"26","624","264"
"8","626","239"
"32","628","828"
"46","633","151"
"43","636","612"
"1","637","674"
"14","638","972"
"47","641","544"
"20","643","906"
"43","644","373"
"46","652","764"
"5","654","326"
"21","656","621"
"27","657","992"
"15","658","477"
"8","660","430"
"44","661","798"
"39","662","447"
"14","665","744"
"12","668","863"
"22","681","396"
"22","685","927"
"30","686","897"
"8","689","235"
"8","690","201"
"33","691","696"
"24","692","789"
"38","693","289"
"3","695","528"
"15","696","727"
"28","697","323"
"27","699","982"
"19","700","563"
"47","706","113"
"13","707","719"
"38","710","540"
"46","711","740"
"43","713","907"
