"0","35","838","2015-06-18 15:48:44"
"1","35","128","1976-12-13 08:31:51"
"2","11","339","2013-11-26 18:33:17"
"3","69","916","2004-11-10 07:57:25"
"4","20","517","2022-10-05 19:14:14"
"5","72","1362","1989-04-12 07:10:05"
"6","25","1882","2014-08-25 00:55:26"
"7","83","1552","2012-08-25 20:55:23"
"8","47","1268","2005-01-08 03:35:25"
"9","96","767","2020-10-08 20:10:40"
"10","79","61","1996-10-07 22:56:05"
"11","57","129","1984-05-24 10:07:41"
"12","90","1900","1979-06-13 22:28:08"
"13","58","1170","1994-11-11 01:01:24"
"14","88","432","2009-09-21 11:51:09"
"15","72","641","1990-01-22 00:27:38"
"16","66","1313","2015-07-26 19:46:24"
"17","94","1680","1999-07-16 09:42:54"
"18","43","1079","2008-04-06 00:38:44"
"19","65","798","1977-02-10 19:28:49"
"20","9","1195","1984-07-21 14:16:54"
"21","21","671","1989-07-31 11:23:08"
"22","63","1743","2009-03-14 20:29:57"
"23","56","590","1970-05-12 13:38:02"
"24","58","1026","1976-04-20 21:21:05"
"25","21","1427","2012-01-18 09:58:50"
"26","63","304","1995-07-23 21:50:18"
"27","96","1252","1989-01-19 06:55:12"
"28","96","1001","1976-09-01 11:09:41"
"29","93","505","1981-09-02 08:43:55"
"30","54","963","2021-08-19 09:44:57"
"31","80","197","1973-10-13 00:52:43"
"32","93","1683","1973-06-02 01:30:11"
"33","46","692","1992-02-24 20:15:19"
"34","7","1948","1984-09-30 22:18:16"
"35","77","1004","1986-04-21 11:34:36"
"36","79","1206","1992-06-07 11:04:55"
"37","34","966","2010-01-30 04:41:23"
"38","49","1428","1972-05-28 18:30:13"
"39","93","1345","2017-08-05 21:08:52"
"40","61","684","2009-01-22 17:47:00"
"41","9","1864","1973-06-25 10:21:48"
"42","37","1846","1999-12-02 05:42:06"
"43","0","822","2002-07-20 16:18:28"
"44","31","1716","1972-09-27 22:58:35"
"45","79","468","1998-07-14 22:27:02"
"46","4","1783","1988-12-02 04:15:33"
"47","27","589","1998-01-04 06:15:11"
"48","63","1787","1988-02-07 21:38:00"
"49","30","322","2002-05-31 23:39:03"
"50","82","1127","1985-07-10 21:03:35"
"51","90","1089","1977-06-20 03:13:53"
"52","85","1787","1987-11-25 19:17:40"
"53","1","1799","2012-08-02 23:17:45"
"54","81","434","1984-08-10 04:49:26"
"55","31","1042","2017-09-18 11:13:38"
"56","19","271","1973-01-30 07:53:43"
"57","90","1500","2002-10-11 17:51:54"
"58","35","759","1984-06-17 05:21:20"
"59","89","928","2008-05-20 17:08:52"
"60","25","429","2015-02-19 02:14:33"
"61","14","248","1991-07-05 12:43:06"
"62","46","1264","1974-01-18 20:31:01"
"63","63","1904","1985-04-08 03:25:22"
"64","86","148","2005-07-13 05:40:27"
"65","25","1117","1981-07-07 14:26:26"
"66","48","1961","2011-02-08 20:06:54"
"67","20","128","2013-11-03 01:26:18"
"68","99","1961","2006-11-17 17:48:16"
"69","89","454","1987-09-02 13:06:13"
"70","93","1940","2009-12-30 05:08:16"
"71","10","814","2004-11-19 07:50:30"
"72","77","1895","1974-09-12 02:15:25"
"73","97","1341","1998-11-07 06:14:01"
"74","45","1210","1984-03-31 22:28:43"
"75","77","1178","2004-04-30 16:15:02"
"76","92","570","1986-02-28 10:25:56"
"77","90","637","2001-06-13 18:51:07"
"78","32","1482","1988-10-18 13:47:50"
"79","79","119","1981-09-16 15:10:43"
"80","0","1324","2001-12-26 23:45:42"
"81","78","202","1995-09-19 09:30:32"
"82","71","837","1981-09-01 07:55:02"
"83","29","1242","1972-01-17 16:28:11"
"84","51","226","2021-10-23 04:36:39"
"85","56","402","1993-03-22 21:57:26"
"86","75","14","2015-08-10 14:05:15"
"87","76","129","2013-03-01 07:36:46"
"88","58","615","1996-05-20 17:58:59"
"89","91","1195","2005-01-02 11:30:26"
"90","17","1744","2009-04-26 11:21:31"
"91","79","720","2011-01-25 03:15:38"
